;DateTime;Speed;FuelRate;gps_Lat;gps_Long;Duration;DeltaDistance;Acc;DayOfWeek;Seg;Acc2;cumulative_time
66;2018-11-10 03:55:19;0.0;9.949999809;45.54571152;-73.65109253;1.0;0.0;0.0;5;0.0;0.0;1.0
68;2018-11-10 03:55:20;0.0;9.899999619;45.54571915;-73.6510849;1.0;0.0;0.0;5;0.0;0.0;2.0
70;2018-11-10 03:55:21;0.0;9.899999619;45.54572296;-73.65107727;1.0;0.0;0.0;5;0.0;0.0;3.0
72;2018-11-10 03:55:22;0.0;9.949999809;45.54573059;-73.65109253;1.0;0.0;0.0;5;0.0;0.0;4.0
74;2018-11-10 03:55:23;0.0;10.0;45.54574203;-73.65109253;1.0;0.0;0.0;5;0.0;0.0;5.0
76;2018-11-10 03:55:24;0.0;10.0;45.54574203;-73.65109253;1.0;0.0;0.0;5;0.0;0.0;6.0
78;2018-11-10 03:55:25;0.0;10.0;45.54574203;-73.65109253;1.0;0.0;0.0;5;0.0;0.0;7.0
80;2018-11-10 03:55:26;0.0;10.10000038;45.54571915;-73.65110779;1.0;0.0;0.0;5;0.0;0.0;8.0
82;2018-11-10 03:55:27;0.0;10.0;45.54571152;-73.65111542;1.0;0.0;0.0;5;0.0;0.0;9.0
84;2018-11-10 03:55:28;0.0;10.05000019;45.54570389;-73.65111542;1.0;0.0;0.0;5;0.0;0.0;10.0
86;2018-11-10 03:55:29;0.0;10.05000019;45.54570389;-73.65112305;1.0;0.0;0.0;5;0.0;0.0;11.0
88;2018-11-10 03:55:30;0.0;10.10000038;45.54569626;-73.65112305;1.0;0.0;0.0;5;0.0;0.0;12.0
90;2018-11-10 03:55:31;0.0;8.649999619;45.54567719;-73.65111542;1.0;0.0;0.0;5;0.0;0.0;13.0
92;2018-11-10 03:55:32;0.0;8.699999809;45.54566193;-73.65111542;1.0;0.0;0.0;5;0.0;0.0;14.0
94;2018-11-10 03:55:33;0.0;8.850000381;45.54565811;-73.65112305;1.0;0.0;0.0;5;0.0;0.0;15.0
96;2018-11-10 03:55:34;0.0;8.850000381;45.54567337;-73.65113068;1.0;0.0;0.0;5;0.0;0.0;16.0
98;2018-11-10 03:55:35;0.0;8.899999619;45.54566193;-73.65113831;1.0;0.0;0.0;5;0.0;0.0;17.0
100;2018-11-10 03:55:36;0.0;8.899999619;45.54566193;-73.65113831;1.0;0.0;0.0;5;0.0;0.0;18.0
102;2018-11-10 03:55:37;0.0;8.899999619;45.54565811;-73.65113831;1.0;0.0;0.0;5;0.0;0.0;19.0
104;2018-11-10 03:55:38;0.0;8.899999619;45.54564285;-73.65113831;1.0;0.0;0.0;5;0.0;0.0;20.0
106;2018-11-10 03:55:39;0.0;8.949999809;45.5456543;-73.65115356;1.0;0.0;0.0;5;0.0;0.0;21.0
108;2018-11-10 03:55:40;0.0;8.899999619;45.545681;-73.65115356;1.0;0.0;0.0;5;0.0;0.0;22.0
110;2018-11-10 03:55:41;0.0;8.949999809;45.54568481;-73.65115356;1.0;0.0;0.0;5;0.0;0.0;23.0
112;2018-11-10 03:55:42;0.0;8.899999619;45.54571533;-73.65116119;1.0;0.0;0.0;5;0.0;0.0;24.0
114;2018-11-10 03:55:43;0.0;8.850000381;45.54572678;-73.65116119;1.0;0.0;0.0;5;0.0;0.0;25.0
116;2018-11-10 03:55:44;0.0;8.949999809;45.54574585;-73.65116119;1.0;0.0;0.0;5;0.0;0.0;26.0
118;2018-11-10 03:55:45;0.0;8.949999809;45.54575348;-73.65116119;1.0;0.0;0.0;5;0.0;0.0;27.0
120;2018-11-10 03:55:46;0.0;8.899999619;45.54576111;-73.65113831;1.0;0.0;0.0;5;0.0;0.0;28.0
122;2018-11-10 03:55:47;0.0;8.850000381;45.54575348;-73.65112305;1.0;0.0;0.0;5;0.0;0.0;29.0
124;2018-11-10 03:55:48;0.0;8.899999619;45.54574203;-73.65110779;1.0;0.0;0.0;5;0.0;0.0;30.0
126;2018-11-10 03:55:49;0.0;8.899999619;45.54572678;-73.65106964;1.0;0.0;0.0;5;0.0;0.0;31.0
128;2018-11-10 03:55:50;0.0;8.949999809;45.5457077;-73.65106964;1.0;0.0;0.0;5;0.0;0.0;32.0
130;2018-11-10 03:55:51;0.0;8.850000381;45.54568863;-73.65105438;1.0;0.0;0.0;5;0.0;0.0;33.0
132;2018-11-10 03:55:52;0.0;8.800000191;45.54569626;-73.65104675;1.0;0.0;0.0;5;0.0;0.0;34.0
134;2018-11-10 03:55:53;0.0;8.899999619;45.54569244;-73.65103912;1.0;0.0;0.0;5;0.0;0.0;35.0
136;2018-11-10 03:55:54;0.0;8.850000381;45.5457077;-73.65102386;1.0;0.0;0.0;5;0.0;0.0;36.0
138;2018-11-10 03:55:55;0.0;8.800000191;45.54571152;-73.65101624;1.0;0.0;0.0;5;0.0;0.0;37.0
140;2018-11-10 03:55:56;0.0;8.800000191;45.5457077;-73.65100861;1.0;0.0;0.0;5;0.0;0.0;38.0
142;2018-11-10 03:55:57;0.0;8.800000191;45.5457077;-73.65100861;1.0;0.0;0.0;5;0.0;0.0;39.0
144;2018-11-10 03:55:58;0.0;8.800000191;45.5457077;-73.65100861;1.0;0.0;0.0;5;0.0;0.0;40.0
146;2018-11-10 03:55:59;0.0;8.800000191;45.5457077;-73.65100861;1.0;0.0;0.0;5;0.0;0.0;41.0
148;2018-11-10 03:56:00;0.0;8.800000191;45.5457077;-73.65100861;1.0;0.0;0.0;5;0.0;0.0;42.0
150;2018-11-10 03:56:01;0.0;8.800000191;45.54570007;-73.65096283;1.0;0.0;0.0;5;0.0;0.0;43.0
152;2018-11-10 03:56:02;0.0;8.800000191;45.54569244;-73.6509552;1.0;0.0;0.0;5;0.0;0.0;44.0
154;2018-11-10 03:56:03;0.0;8.800000191;45.54570389;-73.6509552;1.0;0.0;0.0;5;0.0;0.0;45.0
156;2018-11-10 03:56:04;0.0;8.800000191;45.54570389;-73.6509552;1.0;0.0;0.0;5;0.0;0.0;46.0
158;2018-11-10 03:56:05;0.0;8.75;45.54571915;-73.6509552;1.0;0.0;0.0;5;0.0;0.0;47.0
160;2018-11-10 03:56:06;0.0;8.699999809;45.54572296;-73.65094757;1.0;0.0;0.0;5;0.0;0.0;48.0
162;2018-11-10 03:56:07;0.0;8.800000191;45.54573059;-73.65094757;1.0;0.0;0.0;5;0.0;0.0;49.0
164;2018-11-10 03:56:08;0.0;8.75;45.54574585;-73.65094757;1.0;0.0;0.0;5;0.0;0.0;50.0
166;2018-11-10 03:56:09;0.0;8.75;45.54575348;-73.65093994;1.0;0.0;0.0;5;0.0;0.0;51.0
168;2018-11-10 03:56:10;0.0;8.699999809;45.54575729;-73.65093994;1.0;0.0;0.0;5;0.0;0.0;52.0
170;2018-11-10 03:56:11;0.0;8.699999809;45.54576492;-73.65094757;1.0;0.0;0.0;5;0.0;0.0;53.0
